Vehicle,Model,Make,2022,2023
Toyota Prius,Toyota,Prius,4.428038356898014,3.781667299017272
Porsche Panamera E-Hybrid,Porsche,Panamera E-Hybrid,0.38722230869313634,0.37736667984639993
Mercedes S550e,Mercedes,S550e,0.17060188702156864,0.14703838092232502
Mercedes C350e,Mercedes,C350e,1.0851617412790802,1.2185464897329439
Hyundai IONIQ EV,Hyundai,IONIQ EV,0.6794899236793412,0.8248044478211796
Chrysler Pacifica Hybrid,Chrysler,Pacifica Hybrid,1.6280517994660215,1.5323740514594704
Tesla Model 3,Tesla,Model 3,84.717189430492,95.94645689147364
Honda Clarity BEV,Honda,Clarity BEV,0.16836821823211778,0.14297927851321646
Volvo XC60 PHEV,Volvo,XC60 PHEV,0.28084515994169124,0.1896857600264923
Volvo S90 T8 PHEV,Volvo,S90 T8 PHEV,0.16324606623186,0.17295083753769447
